#delta m_41^2 (eV)	sin^2 2 theta_24	g^2	log10(Bayes Factor)
21.13489	0.01333512132513612	0.0	0.21399532027886808
26.607251	0.01333512132513612	0.0	0.22173236333280968
33.496544	0.01333512132513612	0.0	0.2605125935496931
42.16965	0.01333512132513612	0.0	0.2155982708110354
0.010593	0.016788047825962514	0.0	0.20315097403687607
0.013335	0.016788047825962514	0.0	0.19163398381555383
0.016788	0.016788047825962514	0.0	0.19422944489882737
0.021135	0.016788047825962514	0.0	0.21842858532130655
0.026607	0.016788047825962514	0.0	0.1801714541222136
0.033497	0.016788047825962514	0.0	0.2180561256878209
0.04217	0.016788047825962514	0.0	0.21352642555565515
0.053088	0.016788047825962514	0.0	0.3928261358056052
0.066834	0.016788047825962514	0.0	0.5196301227195138
0.08414	0.016788047825962514	0.0	0.7013216794280657
0.105925	0.016788047825962514	0.0	0.8996698757182595
0.133352	0.016788047825962514	0.0	0.9548978194702866
0.16788	0.016788047825962514	0.0	0.848809840032233
0.211349	0.016788047825962514	0.0	0.7459162050821195
0.266073	0.016788047825962514	0.0	0.6344878497172508
0.334965	0.016788047825962514	0.0	0.4268960080717101
0.421697	0.016788047825962514	0.0	0.351473153764098
0.530884	0.016788047825962514	0.0	0.21468706887265243
0.668344	0.016788047825962514	0.0	0.12100213594389991
0.841395	0.016788047825962514	0.0	0.02644387589831068
1.059254	0.016788047825962514	0.0	-0.09840326259591543
1.333521	0.016788047825962514	0.0	-0.1544141654687903
1.678804	0.016788047825962514	0.0	-0.2867580562230785
2.113489	0.016788047825962514	0.0	-0.2629268066562634
2.660725	0.016788047825962514	0.0	-0.29143828716569437
3.349654	0.016788047825962514	0.0	-0.22779767277706095
4.216965	0.016788047825962514	0.0	-0.22568630238097906
5.308844	0.016788047825962514	0.0	-0.1975763488348074
6.683439	0.016788047825962514	0.0	-0.10917817383616003
8.413951	0.016788047825962514	0.0	-0.030175117422046146
10.592537	0.016788047825962514	0.0	0.002944123309539664
13.335214	0.016788047825962514	0.0	0.12330333645802137
16.78804	0.016788047825962514	0.0	0.14059717290340407
21.13489	0.016788047825962514	0.0	0.23846562548989847
26.607251	0.016788047825962514	0.0	0.2114497509455575
33.496544	0.016788047825962514	0.0	0.2579673629660509
42.16965	0.016788047825962514	0.0	0.23248285419426964
0.010593	0.021135044593526636	0.0	0.20418385660324992
0.013335	0.021135044593526636	0.0	0.18030155572002587
0.016788	0.021135044593526636	0.0	0.2402201187386221
0.021135	0.021135044593526636	0.0	0.18108639533604026
0.026607	0.021135044593526636	0.0	0.19844946266475005
0.033497	0.021135044593526636	0.0	0.25294135978585175
0.04217	0.021135044593526636	0.0	0.22288926737436324
0.053088	0.021135044593526636	0.0	0.43863692052798803
0.066834	0.021135044593526636	0.0	0.641745618409824
0.08414	0.021135044593526636	0.0	0.890019674269612
0.105925	0.021135044593526636	0.0	1.1923732429252716
0.133352	0.021135044593526636	0.0	1.200003032614
0.16788	0.021135044593526636	0.0	1.2125979026530633
0.211349	0.021135044593526636	0.0	1.020615056353441
0.266073	0.021135044593526636	0.0	0.9074384963239979
0.334965	0.021135044593526636	0.0	0.6337325160683405
0.421697	0.021135044593526636	0.0	0.5562435187918273
0.530884	0.021135044593526636	0.0	0.27680357889229906
0.668344	0.021135044593526636	0.0	0.2705939929604418
0.841395	0.021135044593526636	0.0	0.12158207976604768
1.059254	0.021135044593526636	0.0	-0.22063907522954782
1.333521	0.021135044593526636	0.0	-0.21894093168996806
